id,comune,categoria,nome,telefono,email,indirizzo,sito,fonte,stato,priorita,note
avigliana-arch-001,Avigliana,Architetto,ARCHITETTO ANDREA DIEGO DI NATALE,+39 011 932 8383,,Via Ceresole 4 - 10051 Avigliana TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
avigliana-not-001,Avigliana,Notaio,Notaio Vaglienti Francesco,+39 011 932 7706,,Corso Laghi 99 - 10051 Avigliana TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,ALTA,
avigliana-avv-001,Avigliana,Avvocato,Avv. Federica Bonaveri,+39 011 305 2639,,Corso Laghi 60 - 10051 Avigliana TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
avigliana-avv-002,Avigliana,Avvocato,Avv. Giusy Bellofatto,+39 011 931 3604,,Via Carnino 7 - 10051 Avigliana TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
avigliana-arch-002,Avigliana,Architetto,OB|A Studio - Oscar Battagliotti,+39 011 931 1358,,Corso Torino 4D - 10051 Avigliana TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
avigliana-edile-001,Avigliana,Impresa edile,Impresa Edile Carello & Cogerino,+39 335 678 9333,,Corso Laghi 81 - 10051 Avigliana TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
almese-geo-001,Almese,Geometra,Geometra Erika Martini,+39 334 248 7273,,Via Rivette 32 - 10040 Almese TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,ALTA,
almese-arch-001,Almese,Architetto,Architetto Valeria Bergamo,+39 340 005 8808,,Via Morsino 17 - 10040 Almese TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
almese-not-001,Almese,Notaio,Insabella Notaio Valeria,+39 011 964 2354,,Via Rivette 14 - 10040 Almese TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,ALTA,
almese-cred-001,Almese,Consulente credito / finanziario,Luca Nurisso - Consulente finanziario,+39 333 536 0386,,Via Montecapretto 13 - 10040 Almese TO,,Ricerca pubblica web 2026-08-16,DA_VERIFICARE,NORMALE,Verificare operativita specifica su mutui immobiliari
almese-comm-001,Almese,Commercialista,Studio Zappia Francesco Commercialista,+39 011 385 8726,,Via Avigliana 31 - 10040 Almese TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,ALTA,
buttigliera-geo-001,Buttigliera Alta,Geometra,Geometra Faresin Andrea,+39 334 140 5617,,Via Braida Vecchia 41 - 10090 Buttigliera Alta TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,ALTA,
buttigliera-arch-001,Buttigliera Alta,Architetto,Architetto Chiara Loreni,+39 347 672 3487,,Via al Castello 47 - 10090 Buttigliera Alta TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
buttigliera-edile-001,Buttigliera Alta,Impresa edile,L.A.SERVICE S.r.l,+39 346 972 8169,,Corso Vandel 32 - 10090 Buttigliera Alta TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
bussoleno-geo-001,Bussoleno,Geometra,Studio Tecnico Geometra Cugnetto Wanda,+39 0122 640777,,Via Traforo 32C - 10053 Bussoleno TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,ALTA,
bussoleno-geo-002,Bussoleno,Geometra,Studio Tecnico Geometra Oliveto Daniele,+39 347 196 7943,,Strada Susa 41 - 10053 Bussoleno TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,ALTA,
bussoleno-arch-001,Bussoleno,Architetto,a2f Studio - Federica Ferraro architetto,+39 0122 641097,,Via Traforo 59 - 10053 Bussoleno TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
bussoleno-comm-001,Bussoleno,Commercialista,Belmondo Cristina Dottore Commercialista,+39 0122 641770,,Via Traforo 67 - 10053 Bussoleno TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,ALTA,
bussoleno-edile-001,Bussoleno,Impresa edile,Impresa Edile Romanazzi Nicola,+39 338 931 0304,,Via Fabbrica da Fer 6 - 10053 Bussoleno TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
susa-geo-001,Susa,Geometra,Geometra Roberto Bonavero,+39 0122 32941,,Via Fratelli Vallero 1 - 10059 Susa TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,ALTA,
susa-comm-001,Susa,Commercialista,Studio Vottero Rag. Stefania,+39 0122 622272,,Via Roma 60 - 10026 Susa TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,ALTA,
rosta-edile-001,Rosta,Impresa edile,FTR COSTRUZIONI SRL,+39 339 114 3158,,Via Stazione 60 - 10090 Rosta TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
condove-arch-001,Condove,Architetto,Studio Tecnico Architetto TOTA Federica,+39 329 221 7249,,Via Papa Giovanni XXIII 18 - 10055 Condove TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
condove-not-001,Condove,Notaio,Lorenzo Bigiotto - Notaio Val di Susa,+39 011 454 6593,,Viale Bauchiero 43 - 10055 Condove TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,ALTA,
condove-comm-001,Condove,Commercialista,Studio Commercialista Dott.ssa Lavezzo Emanuela,+39 011 001 5501,,Viale Bauchiero 43 - 10055 Condove TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,ALTA,
condove-edile-001,Condove,Impresa edile,Impresa Edile Pettigiani Ilario,+39 335 808 1545,,Via Magnoletto 8 - 10055 Condove TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
condove-geo-001,Condove,Geometra,Studio tecnico - nome da verificare,+39 011 964 3145,,Viale Bauchiero 43 - 10055 Condove TO,,Ricerca pubblica web 2026-08-16,DA_VERIFICARE,ALTA,Denominazione pubblica non completa: verificare prima della chiamata
santantonino-geo-001,Sant'Antonino di Susa,Geometra,Geometra Cristian Audino,+39 340 129 5749,,Via Moncenisio 55 - 10050 Sant'Antonino di Susa TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,ALTA,
santantonino-edile-001,Sant'Antonino di Susa,Impresa edile,Impresa Edile Messinese di Maurizio Messinese,+39 338 714 3224,,Vicolo Inferiore 14 - 10050 Sant'Antonino di Susa TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
santantonino-edile-002,Sant'Antonino di Susa,Impresa edile,Artigiano edile Basha Lulzim,+39 347 683 5217,,Via Vaie 3-5 - 10050 Sant'Antonino di Susa TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
alpignano-arch-001,Alpignano,Architetto,Architetto Del Bel Belluz,+39 011 967 8823,,10091 Alpignano TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
alpignano-avv-001,Alpignano,Avvocato,Avvocato Erica Fornaci,+39 338 410 3308,,Via Cavour 43 - 10091 Alpignano TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
alpignano-comm-001,Alpignano,Commercialista,Cucco Adriana Ragioniere Commercialista,+39 011 967 5058,,Via Armando Diaz 2 bis - 10091 Alpignano TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,ALTA,
alpignano-comm-002,Alpignano,Commercialista,Gianni Da Ronco Commercialista,,,Via Armando Diaz 47 - 10091 Alpignano TO,,Ricerca pubblica web 2026-08-16,DA_VERIFICARE,NORMALE,Telefono da integrare
alpignano-edile-001,Alpignano,Impresa edile,Impresa Edile Carastro,+39 393 952 8655,,Via Cavour 97 - 10091 Alpignano TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
rivoli-geo-001,Rivoli,Geometra,Geometra Grasso L. Andrea,+39 340 379 8078,,Via XXIV Maggio 16 - 10098 Rivoli TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,ALTA,
rivoli-arch-001,Rivoli,Architetto,Architetto Sara Maselli,+39 011 263 1712,,Corso Susa 7 - 10098 Rivoli TO,,Ricerca pubblica web 2026-08-16,DA_CONTATTARE,NORMALE,
rivoli-arch-002,Rivoli,Architetto,Architetto Davide Scirpo,,,Corso Francia 148 - 10098 Rivoli TO,,Ricerca pubblica web 2026-08-16,DA_VERIFICARE,NORMALE,Telefono da integrare
